ukprn,he_provider,country_of_he_provider,region_of_he_provider,academic_year,int_n_consult_sme,int_n_consult_lc,int_n_consult_nc,int_n_consult_total,int_v_consult_sme_000gbp,int_v_consult_lc_000gbp,int_v_consult_nc_000gbp,int_v_consult_total_000gbp,int_n_fe_sme,int_n_fe_lc,int_n_fe_nc,int_n_fe_total,int_v_fe_sme_000gbp,int_v_fe_lc_000gbp,int_v_fe_nc_000gbp,int_v_fe_total_000gbp,cpd_sme_000gbp,cpd_lc_000gbp,cpd_nc_000gbp,cpd_indiv_000gbp,cpd_tot_rev_000gbp,cpd_lrnr_days,contract_int_n_sme,contract_int_n_lc,contract_int_n_nc,contract_int_n_total,contract_int_v_sme_000gbp,contract_int_v_lc_000gbp,contract_int_v_nc_000gbp,contract_int_v_total_000gbp,cumul_patent,n_disclosures,n_patents_filed,n_external_patents,n_patents_granted,nonsoftware_sme,nonsoftware_lc,software_sme,software_lc,license_inc_nsw_nc_000gbp,license_inc_nsw_lc_000gbp,license_inc_nsw_sme_000gbp,license_inc_ip_nc_000gbp,license_inc_ip_lc_000gbp,license_inc_ip_sme_000gbp,license_inc_sw_nc_000gbp,license_inc_sw_lc_000gbp,license_inc_sw_sme_000gbp,external_investment_spin,n_spinouts_surv3,hefunds_eu_industry,hefunds_noneu_industry,hefunds_research_councils,hefunds_total,hefunds_uk_industry,inc_collab_public,ay_cpi,bci_sme,bci_lc,bci_total,cagr_5yr_2324,cluster
10007799,Newcastle University,England,North East,2019/20,33,279,141,453,739.5232164,3617.76723,2662.03789,7019.328336,15,28,90,133,234.6327813,63.87908181,1422.538014,1721.049877,57.73686241,259.2016589,1551.524622,606.8512772,2475.31442,18183,30,229,679,938,110.5599493,5332.674887,21603.41409,27046.64893,636,116,132,28,36,21,85,0,4,113.0168371,1106.827937,76.16352062,0,0,0,0,0,0,12928.1434,80,1095.771942,2498.654854,41990.66874,120047.2214,4883.064427,69993.04701,81.4038,1160.879468,10121.14914,11282.0286,0.034795364,Very large and highly research intensive
10007799,Newcastle University,England,North East,2020/21,72,237,83,392,653.9415108,2625.260657,3356.345903,6635.548071,33,85,109,227,418.9498245,856.8888762,1629.513057,2905.351758,10.68144029,218.3761125,2368.90609,871.1307966,3469.094439,15367,27,156,478,661,365.5426231,5197.114112,21070.9212,26633.57794,1356,132,136,52,180,23,95,0,3,4.747306794,862.8230097,51.03354803,0,0,0,0,0,0,224756.4928,72,1109.682963,1928.593385,37620.03269,118191.3236,5546.041162,63641.20805,84.2583,1489.467506,9542.086655,11031.55416,0.034795364,Very large and highly research intensive
10007799,Newcastle University,England,North East,2021/22,111,167,112,390,1253.91051,2488.138215,3789.519022,7531.567747,64,43,68,175,812.7840981,581.221677,1507.471362,2901.477137,5.789060528,2.315624211,1424.10889,324.1873896,1756.400964,8479,32,191,588,811,411.0232975,5440.559084,22417.55799,28269.14037,1504,164,128,36,72,24,107,0,5,5.789060528,1448.422944,56.73279318,0,0,0,0,5.789060528,0,38782.07429,88,1301.380807,3523.222237,37030.30457,126873.0505,5373.405982,86346.1534,86.3698,2534.450699,9964.130981,12498.58168,0.034795364,Very large and highly research intensive
10007799,Newcastle University,England,North East,2022/23,133,130,106,369,1363.270893,2415.372212,3975.5721,7754.215205,82,36,76,194,954.1808243,669.1233831,1357.830865,2981.135073,4.352022004,50.04825304,1613.512158,125.1206326,1793.033066,15917,39,226,654,919,859.5243458,6412.704423,23653.23959,30925.46836,1564,180,88,48,68,28,117,0,5,4.352022004,1418.759173,43.52022004,0,0,0,0,0,0,113078.5877,104,1249.030315,3022.479282,40521.67688,129848.0165,7629.094573,70343.90766,91.9113,3220.496283,10915.95919,14136.45547,0.034795364,Very large and highly research intensive
10007799,Newcastle University,England,North East,2023/24,133,160,89,382,1941.527944,2325.475213,1755.780482,6022.783638,84,61,55,200,1021.092195,740.9144586,1185.048056,2947.054709,24.90468768,30.09316429,2648.198457,1395.700206,4098.896515,33898,51,183,642,876,505.3576209,5170.835781,23734.16736,29410.36077,1588,200,92,36,64,31,123,0,5,0,1022.12989,658.9365283,0,0,0,0,0,0,266264.3176,104,2687.630879,2186.42404,44833.62631,130802.5328,7302.261968,75892.88494,96.3674,4126.914288,9259.355342,13386.26963,0.034795364,Very large and highly research intensive
10007799,Newcastle University,England,North East,2024/25,142,142,112,396,1186,1736,2337,5259,116,39,63,218,2059,584,1150,3793,90,36,2353,1247,3726,46185,55,154,623,832,1349,4342,24732,30423,1124,296,36,0,88,35,141,0,6,1,1445,141,0,0,0,0,0,0,133560,116,3295,1930,46228,133808,8522,73708,100,4735,8107,12842,0.034795364,Very large and highly research intensive
10067406,New Model Institute for Technology and Engineering (NMITE),England,West Midlands,2020/21,1,1,0,2,2.373653397,17.80240048,0,20.17605387,0,0,0,0,0,0,0,0,0,0,10.68144029,0,10.68144029,39,0,0,1,1,0,0,11.86826698,11.86826698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.2583,2.373653397,17.80240048,20.17605387,,
10067406,New Model Institute for Technology and Engineering (NMITE),England,West Midlands,2021/22,0,0,2,2,0,0,38.20779949,38.20779949,0,0,0,0,0,0,0,0,0,0,2.315624211,0,2.315624211,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3698,0,0,0,,
10067406,New Model Institute for Technology and Engineering (NMITE),England,West Midlands,2022/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.23207701,21.76011002,36.99218703,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.9113,0,0,0,,
10067406,New Model Institute for Technology and Engineering (NMITE),England,West Midlands,2023/24,5,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,111.0333993,111.0333993,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.3674,0,0,0,,
10067406,New Model Institute for Technology and Engineering (NMITE),England,West Midlands,2024/25,1,0,0,1,6,0,0,6,0,0,0,0,0,0,0,0,123,1,50,0,174,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,6,0,6,,
10048199,Northeastern University London,England,London,2019/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.4038,0,0,0,,
10048199,Northeastern University London,England,London,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.2583,0,0,0,,
10048199,Northeastern University London,England,London,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.83904791,46.31248422,0,0,86.3698,0,0,0,,
10048199,Northeastern University London,England,London,2022/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.088005501,9.792049509,0,10.88005501,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.21645108,0,0,91.9113,0,0,0,,
10048199,Northeastern University London,England,London,2023/24,1,0,1,2,2.07539064,0,3.113085961,5.188476601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.71621108,35.28164089,0,0,96.3674,2.07539064,0,2.07539064,,
